surname;firstname;origin;start;end;substitute
Olsvig;Sara;GL;2011-09-15;2013-09-08;FALSE
Olsvig;Sara;GL;2013-09-14;2013-10-01;FALSE
Olsvig;Sara;GL;2013-11-19;2014-03-21;FALSE
Olsvig;Sara;GL;2014-04-25;2014-09-15;FALSE
Olsvig;Sara;GL;2015-05-27;2015-06-18;FALSE
Lund Olsen;Johan;GL;2013-09-08;2013-09-14;TRUE
Lund Olsen;Johan;GL;2013-10-01;2013-11-19;TRUE
Lund Olsen;Johan;GL;2014-03-21;2014-04-25;TRUE
Lund Olsen;Johan;GL;2014-09-15;2015-05-27;TRUE
Jakobsen;Doris;GL;2009-10-08;2009-11-30;TRUE
Jakobsen;Doris;GL;2011-09-15;2014-12-16;FALSE
Jakobsen;Doris;GL;2015-02-11;2015-06-18;FALSE
Johansen;Lars-Emil;GL;2001-11-20;2009-10-08;FALSE
Johansen;Lars-Emil;GL;2009-11-30;2011-09-15;FALSE
Kleist;Kuupik;GL;2001-11-20;2007-04-10;FALSE
Kleist;Kuupik;GL;2007-06-01;2007-11-13;FALSE
Rossen;Sofia;GL;2007-04-10;2007-06-01;TRUE
Rossen;Sofia;GL;2010-01-12;2010-10-04;TRUE
Henningsen Heilmann;Juliane;GL;2007-11-13;2010-01-12;FALSE
Henningsen Heilmann;Juliane;GL;2010-10-04;2011-09-15;FALSE
Nielsen;Nick;GL;2014-12-16;2015-02-11;TRUE
Chemnitz;Aaja;GL;2015-06-18;NA;FALSE
Hammond;Aleqa;GL;2015-06-18;2019-06-05;FALSE
Høegh-Dam;Aki-Matilda;GL;2019-06-05;2023-09-22;FALSE
Høegh-Dam;Aki-Matilda;GL;2023-10-06;NA;FALSE
Olsen;Markus E.;GL;2023-09-22;2023-10-06;TRUE
Joensen;Edmund;FO;1994-09-21;1998-03-11;FALSE
Joensen;Edmund;FO;2007-11-13;2015-06-18;FALSE
Joensen;Edmund;FO;2019-06-05;2022-11-01;FALSE
Arge;Magni;FO;2015-07-28;2017-12-11;TRUE
Arge;Magni;FO;2017-12-11;2019-06-05;FALSE
Hoydal;Høgni;FO;2001-11-20;2008-02-19;FALSE
Hoydal;Høgni;FO;2008-10-24;2011-09-15;FALSE
Hoydal;Høgni;FO;2015-06-18;2015-07-28;FALSE
Johannesen;Aksel;FO;2012-04-20;2012-05-20;TRUE
Skaale;Sjúrður;FO;2008-02-19;2008-09-09;TRUE
Skaale;Sjúrður;FO;2011-09-15;2012-04-20;FALSE
Skaale;Sjúrður;FO;2012-05-20;NA;FALSE
á Fríðriksmørk;Annita;FO;2008-09-09;2008-10-24;TRUE
Kallsberg;Anfinn;FO;2005-02-08;2007-11-13;FALSE
Falkenberg;Anna;FO;2022-11-01;NA;FALSE
