surname;firstname;MP_id;origin;party;start;end;substitute
Olsvig;Sara;"13";GL;IA;2011-09-15;2013-09-08;FALSE
Olsvig;Sara;"13";GL;IA;2013-09-14;2013-10-01;FALSE
Olsvig;Sara;"13";GL;IA;2013-11-19;2014-03-21;FALSE
Olsvig;Sara;"13";GL;IA;2014-04-25;2014-09-15;FALSE
Olsvig;Sara;"13";GL;IA;2015-05-27;2015-06-18;FALSE
Lund Olsen;Johan;"277";GL;IA;2013-09-08;2013-09-14;TRUE
Lund Olsen;Johan;"277";GL;IA;2013-10-01;2013-11-19;TRUE
Lund Olsen;Johan;"277";GL;IA;2014-03-21;2014-04-25;TRUE
Lund Olsen;Johan;"277";GL;IA;2014-09-15;2015-05-27;TRUE
Jakobsen;Doris;"294";GL;SIU;2009-10-08;2009-11-30;TRUE
Jakobsen;Doris;"294";GL;SIU;2011-09-15;2014-12-16;FALSE
Jakobsen;Doris;"294";GL;SIU;2015-02-11;2015-06-18;FALSE
Johansen;Lars-Emil;"670";GL;SIU;2001-11-20;2009-10-08;FALSE
Johansen;Lars-Emil;"670";GL;SIU;2009-11-30;2011-09-15;FALSE
Kleist;Kuupik;"672";GL;IA;2001-11-20;2007-04-10;FALSE
Kleist;Kuupik;"672";GL;IA;2007-06-01;2007-11-13;FALSE
Rossen;Sofia;"1484";GL;IA;2007-04-10;2007-06-01;TRUE
Rossen;Sofia;"1484";GL;IA;2010-01-12;2010-10-04;TRUE
Henningsen Heilmann;Juliane;"6689";GL;IA;2007-11-13;2010-01-12;FALSE
Henningsen Heilmann;Juliane;"6689";GL;IA;2010-10-04;2011-09-15;FALSE
Nielsen;Nick;"14000";GL;SIU;2014-12-16;2015-02-11;TRUE
Chemnitz;Aaja;"15757";GL;IA;2015-06-18;NA;FALSE
Hammond;Aleqa;"15758";GL;SIU;2015-06-18;2016-08-22;FALSE
Hammond;Aleqa;"15758";GL;UF;2016-08-23;2018-04-24;FALSE
Hammond;Aleqa;"15758";GL;NQ;2018-04-25;2019-06-05;FALSE
Høegh-Dam;Aki-Matilda;"18688";GL;SIU;2019-06-05;2023-09-22;FALSE
Høegh-Dam;Aki-Matilda;"18688";GL;SIU;2023-10-06;2025-02-07;FALSE
Høegh-Dam;Aki-Matilda;"18688";GL;UF;2025-02-08;2025-02-10;FALSE
Høegh-Dam;Aki-Matilda;"18688";GL;N;2025-02-11;2025-09-19;FALSE
Høegh-Dam;Aki-Matilda;"18688";GL;N;2025-11-14;NA;FALSE
Olsen;Markus E.;"20635";GL;SIU;2023-09-22;2023-10-06;TRUE
Kûitse;Elvira;"21206";GL;N;2025-09-19;2025-11-14;TRUE
Joensen;Edmund;"247";FO;B;1994-09-21;1998-03-11;FALSE
Joensen;Edmund;"247";FO;B;2007-11-13;2015-06-18;FALSE
Joensen;Edmund;"247";FO;B;2019-06-05;2022-11-01;FALSE
Petersen;Lisbeth;"918";FO;B;1988-10-06;1988-10-19;TRUE
Petersen;Lisbeth;"918";FO;B;2001-11-20;2005-02-08;FALSE
Arge;Magni;"15881";FO;E;2015-07-28;2016-10-17;TRUE
Arge;Magni;"15881";FO;E;2016-12-31;2017-12-10;TRUE
Arge;Magni;"15881";FO;E;2017-12-11;2019-06-05;FALSE
Hoydal;Høgni;"1833";FO;E;2001-11-20;2001-12-13;FALSE
Hoydal;Høgni;"1833";FO;E;2004-02-18;2008-02-19;FALSE
Hoydal;Høgni;"1833";FO;E;2008-10-24;2011-09-15;FALSE
Hoydal;Høgni;"1833";FO;E;2015-06-18;2015-07-28;FALSE
Johannesen;Aksel;"12283";FO;C;2012-04-20;2012-05-20;TRUE
Skaale;Sjúrður;"262";FO;E;2008-02-19;2008-09-09;TRUE
Skaale;Sjúrður;"262";FO;C;2011-09-15;2012-04-20;FALSE
Skaale;Sjúrður;"262";FO;C;2012-05-20;NA;FALSE
á Fríðriksmørk;Annita;"6684";FO;E;2008-09-09;2008-10-24;TRUE
Kallsberg;Anfinn;"3093";FO;A;2005-02-08;2007-11-13;FALSE
Falkenberg;Anna;"20349";FO;B;2022-11-01;NA;FALSE
Jacobsen;Tórbjørn;"9780";FO;E;2001-12-14;2004-02-17;TRUE
Jacobsen;Tórbjørn;"9780";FO;E;2016-10-18;2016-12-31;TRUE
Old;Henrik;"18545";FO;C;2019-01-15;2019-01-24;TRUE
Johannesen;Kaj Leo;"6687";FO;B;2007-12-04;2007-12-14;TRUE
Apol;Barbara Gaardlykke;"19142";FO;C;2020-03-17;2020-03-24;TRUE
Apol;Barbara Gaardlykke;"19142";FO;C;2021-05-16;2021-05-23;TRUE
Apol;Barbara Gaardlykke;"19142";FO;C;2024-03-05;2024-03-25;TRUE
Rasmussen;Magnus;"19461";FO;B;2020-11-03;2020-11-10;TRUE
Abrahamsen;Helgi;"19996";FO;B;2021-12-07;2021-12-14;TRUE
Dam;Rigmor;"18614";FO;C;2019-02-28;2019-03-07;TRUE
