cabinet;wikidata_ID;location;start;end;GL_A;GL_D;GL_IA;GL_KP;GL_N;GL_NQ;GL_PI;GL_SIU;FO_A;FO_B;FO_C;FO_D;FO_E;FO_F;FO_H
nielsen_1;Q133576206;GL;07.04.25;NA;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;NA;NA;NA;NA;NA;NA;NA
egede_2;Q111486937;GL;05.04.22;07.04.25;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;NA;NA;NA;NA;NA;NA;NA
egede_1;Q106797236;GL;23.04.21;04.04.22;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;NA;NA;NA;NA;NA;NA;NA
kielsen_7;Q105834380;GL;08.02.21;23.04.21;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;NA;NA;NA;NA;NA;NA;NA
kielsen_6;Q96385892;GL;29.05.20;08.02.21;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;NA;NA;NA;NA;NA;NA;NA
kielsen_5;Q60747425;GL;09.04.19;29.05.20;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;NA;NA;NA;NA;NA;NA;NA
kielsen_4;Q95736906;GL;05.10.18;09.04.19;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;NA;NA;NA;NA;NA;NA;NA
kielsen_3;Q56863492;GL;15.05.18;05.10.18;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;NA;NA;NA;NA;NA;NA;NA
kielsen_2;Q48743208;GL;27.10.16;15.05.18;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;NA;NA;NA;NA;NA;NA;NA
kielsen_1-2;Q23022475;GL;02.02.16;27.10.16;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;NA;NA;NA;NA;NA;NA;NA
kielsen_1-1;Q18647396;GL;12.12.14;02.02.16;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;NA;NA;NA;NA;NA;NA;NA
kielsen_0;Q99736347;GL;01.10.14;12.12.14;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;NA;NA;NA;NA;NA;NA;NA
hammond_2;Q99736342;GL;05.11.13;01.10.14;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;NA;NA;NA;NA;NA;NA;NA
hammond_1;Q12333085;GL;05.04.13;05.11.13;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;NA;NA;NA;NA;NA;NA;NA
kleist_1;Q7604603;GL;12.06.09;05.04.13;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;NA;NA;NA;NA;NA;NA;NA
enoksen_5;Q7604757;GL;01.05.07;12.06.09;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;NA;NA;NA;NA;NA;NA;NA
enoksen_4;Q99673310;GL;01.12.05;01.05.07;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;NA;NA;NA;NA;NA;NA;NA
enoksen_3;Q99672345;GL;13.09.03;01.12.05;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;NA;NA;NA;NA;NA;NA;NA
johannesen-a_2;Q115858267;FO;22.12.22;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE
steig-nielsen_1;Q70207330;FO;16.09.19;22.12.22;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
johannesen-a_1;Q20972153;FO;15.09.15;16.09.19;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE
johannesen-k-l_2-2;Q5203949;FO;09.09.13;15.09.15;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
johannesen-k-l_2-1;Q5203949;FO;14.11.11;09.09.13;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE
johannesen-k-l_1-2;Q989048;FO;06.04.11;14.11.11;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
johannesen-k-l_1-1;Q989048;FO;26.09.08;06.04.11;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
eidesgaard_2;Q1212499;FO;04.02.08;26.09.08;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
eidesgaard_1;Q368075;FO;03.02.04;04.02.08;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
kallsberg_2;Q531981;FO;06.06.02;03.02.04;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE
