"surname","first_name","MP_id","wikidata_id","origin","party","substitute"
"Olsvig","Sara","13","Q8084240","GL","IA",FALSE
"Lund Olsen","Johan","277","Q5965473","GL","IA",TRUE
"Jakobsen","Doris","294","Q12308847","GL","SIU",FALSE
"Johansen","Lars-Emil","670","Q468034","GL","SIU",FALSE
"Kleist","Kuupik","672","Q317400","GL","IA",FALSE
"Rossen","Sofia","1484","Q86523542","GL","IA",TRUE
"Henningsen Heilmann","Juliane","6689","Q533361","GL","IA",FALSE
"Nielsen","Nick","14000","Q16064655","GL","SIU",TRUE
"Chemnitz","Aaja","15757","Q20199803","GL","IA",FALSE
"Hammond","Aleqa","15758","Q1796195","GL","SIU, NQ",FALSE
"Høegh-Dam","Aki-Matilda","18688","Q64415132","GL","SIU, N",FALSE
"Olsen","Markus E.","20635","Q122762872","GL","SIU",TRUE
"Kûitse","Elvira","21206","Q136486981","GL","N",TRUE
"Joensen","Edmund","247","Q678236","FO","B",FALSE
"Petersen","Lisbeth","918","Q544116","FO","B",FALSE
"Arge","Magni","15881","Q16167420","FO","E",FALSE
"Hoydal","Høgni","1833","Q567780","FO","E",FALSE
"Johannesen","Aksel","12283","Q556712","FO","C",TRUE
"Skaale","Sjúrður","262","Q845278","FO","C",FALSE
"á Fríðriksmørk","Annita","6684","Q466097","FO","E",TRUE
"Kallsberg","Anfinn","3093","Q529900","FO","A",FALSE
"Falkenberg","Anna","20349","Q114967087","FO","B",FALSE
"Jacobsen","Tórbjørn","9780","Q331736","FO","E",TRUE
