"cabinet","wikidata_id","location","start","end","FO_A","FO_B","FO_C","FO_D","FO_E","FO_F","FO_H"
"kallsberg_2","Q531981","FO",2002-06-06,2004-02-03,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"eidesgaard_1","Q368075","FO",2004-02-03,2008-02-04,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"eidesgaard_2","Q1212499","FO",2008-02-04,2008-09-26,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"johannesen-k-l_1-1","Q989048","FO",2008-09-26,2011-04-06,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"johannesen-k-l_1-2","Q989048","FO",2011-04-06,2011-11-14,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"johannesen-k-l_2-1","Q5203949","FO",2011-11-14,2013-09-09,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"johannesen-k-l_2-2","Q5203949","FO",2013-09-09,2015-09-15,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"johannesen-a_1","Q20972153","FO",2015-09-15,2019-09-16,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
"steig-nielsen_1","Q70207330","FO",2019-09-16,2022-12-22,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"johannesen-a_2","Q115858267","FO",2022-12-22,NA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
