"election","election_type","date"
"ft_2001","Folketing Election",2001-11-20
"ft_2005","Folketing Election",2005-02-08
"ft_2007","Folketing Election",2007-11-13
"ft_2011","Folketing Election",2011-09-15
"ft_2015","Folketing Election",2015-06-18
"ft_2019","Folketing Election",2019-06-05
"ft_2022","Folketing Election",2022-11-01
"ina_2002","Inatsisartut Election",2002-12-03
"ina_2005","Inatsisartut Election",2005-11-15
"ina_2009","Inatsisartut Election",2009-06-02
"ina_2013","Inatsisartut Election",2013-03-12
"ina_2014","Inatsisartut Election",2014-11-28
"ina_2018","Inatsisartut Election",2018-04-24
"ina_2021","Inatsisartut Election",2021-04-06
"ina_2025","Inatsisartut Election",2025-03-11
"lt_2004","Løgting Election",2004-01-20
"lt_2008","Løgting Election",2008-01-19
"lt_2011","Løgting Election",2011-10-28
"lt_2015","Løgting Election",2015-09-01
"lt_2019","Løgting Election",2019-08-31
"lt_2022","Løgting Election",2022-12-08
