"ballot_id","MP_id","surname","origin","party","gvt_party_at_home","vote_type_id","vote_id","ballot_pass","ft_process_step","ft_topic_id","ft_topic","ft_for","ft_against","ft_abstention","ft_absent","ballot_date","ballot_type_id","gvt_type_dk","gvt_bloc_dk","comment","ballot_result_string"
1,"247","Joensen","FO","B",TRUE,"3","154",TRUE,NA,NA,NA,108,0,0,71,2014-09-09,2,"coalition","left",NA,"Vedtaget

108 stemmer for forslaget (V, S, DF, RV, SF, EL, LA, KF, UFG)

0 stemmer imod forslaget

0 stemmer hverken for eller imod forslaget

"
1,"262","Skaale","FO","C",FALSE,"3","158",TRUE,NA,NA,NA,108,0,0,71,2014-09-09,2,"coalition","left",NA,"Vedtaget

108 stemmer for forslaget (V, S, DF, RV, SF, EL, LA, KF, UFG)

0 stemmer imod forslaget

0 stemmer hverken for eller imod forslaget

"
1,"294","Jakobsen","GL","SIU",TRUE,"3","161",TRUE,NA,NA,NA,108,0,0,71,2014-09-09,2,"coalition","left",NA,"Vedtaget

108 stemmer for forslaget (V, S, DF, RV, SF, EL, LA, KF, UFG)

0 stemmer imod forslaget

0 stemmer hverken for eller imod forslaget

"
1,"13","Olsvig","GL","IA",FALSE,"3","177",TRUE,NA,NA,NA,108,0,0,71,2014-09-09,2,"coalition","left",NA,"Vedtaget

108 stemmer for forslaget (V, S, DF, RV, SF, EL, LA, KF, UFG)

0 stemmer imod forslaget

0 stemmer hverken for eller imod forslaget

"
2,"247","Joensen","FO","B",TRUE,"3","332",TRUE,"3. behandling",1449,"Forslag til lov om ændring af virksomhedsskatteloven og kildeskatteloven. (Indgreb mod utilsigtet udnyttelse af virksomhedsordningen ved indskud af privat gæld m.v.).",98,10,0,71,2014-09-09,1,"coalition","left",NA,"Vedtaget

98 stemmer for forslaget (V, S, DF, RV, SF, EL)

10 stemmer imod forslaget (LA, KF)

0 stemmer hverken for eller imod forslaget

"
2,"262","Skaale","FO","C",FALSE,"3","338",TRUE,"3. behandling",1449,"Forslag til lov om ændring af virksomhedsskatteloven og kildeskatteloven. (Indgreb mod utilsigtet udnyttelse af virksomhedsordningen ved indskud af privat gæld m.v.).",98,10,0,71,2014-09-09,1,"coalition","left",NA,"Vedtaget

98 stemmer for forslaget (V, S, DF, RV, SF, EL)

10 stemmer imod forslaget (LA, KF)

0 stemmer hverken for eller imod forslaget

"
2,"294","Jakobsen","GL","SIU",TRUE,"3","341",TRUE,"3. behandling",1449,"Forslag til lov om ændring af virksomhedsskatteloven og kildeskatteloven. (Indgreb mod utilsigtet udnyttelse af virksomhedsordningen ved indskud af privat gæld m.v.).",98,10,0,71,2014-09-09,1,"coalition","left",NA,"Vedtaget

98 stemmer for forslaget (V, S, DF, RV, SF, EL)

10 stemmer imod forslaget (LA, KF)

0 stemmer hverken for eller imod forslaget

"
2,"13","Olsvig","GL","IA",FALSE,"3","356",TRUE,"3. behandling",1449,"Forslag til lov om ændring af virksomhedsskatteloven og kildeskatteloven. (Indgreb mod utilsigtet udnyttelse af virksomhedsordningen ved indskud af privat gæld m.v.).",98,10,0,71,2014-09-09,1,"coalition","left",NA,"Vedtaget

98 stemmer for forslaget (V, S, DF, RV, SF, EL)

10 stemmer imod forslaget (LA, KF)

0 stemmer hverken for eller imod forslaget

"
283,"247","Joensen","FO","B",TRUE,"3","113800",TRUE,"Behandling",167,"Folketinget udtaler sin støtte til de aktuelle fredsforhandlinger mellem Israel og Palæstina om en tostatsløsning. Folketinget håber på enighed mellem parterne om indholdet af en fredsaftale.
Samtidig udtaler Folketinget sin støtte til
- Israels ret til fred og sikkerhed,
- Palæstinas ret til en levedygtig, sammenhængende og demokratisk stat med udgangspunkt i 1967-grænser og med fuld suverænitet over eget område,
- en forhandlet løsning om Jerusalem som hovedstad for to stater,
- en normalisering af forholdet mellem Israel og alle arabiske lande, og 
- regeringens indsatser for bedre levevilkår og opbygningen af velfungerende institutioner for palæstinenserne.
Folketinget opfordrer regeringen til at arbejde for parternes efterlevelse af Genevekonventionerne og andre internationale forpligtelser, herunder:
- at alvorlige overgreb begået af konfliktens parter ikke må forblive ustraffede, og
- at israelske bosættelser ikke gennem aftaler mellem Israel og EU eller gennem danske offentlige eller private engagementer får legitimeret deres eksistens eller forbedrede økonomiske muligheder.",91,13,0,75,2014-01-23,3,"coalition","left",NA,"Vedtaget

91 stemmer for forslaget (V, S, RV, SF, EL, LA, KF, UFG)

13 stemmer imod forslaget (DF)

0 stemmer hverken for eller imod forslaget

"
283,"262","Skaale","FO","C",FALSE,"3","113808",TRUE,"Behandling",167,"Folketinget udtaler sin støtte til de aktuelle fredsforhandlinger mellem Israel og Palæstina om en tostatsløsning. Folketinget håber på enighed mellem parterne om indholdet af en fredsaftale.
Samtidig udtaler Folketinget sin støtte til
- Israels ret til fred og sikkerhed,
- Palæstinas ret til en levedygtig, sammenhængende og demokratisk stat med udgangspunkt i 1967-grænser og med fuld suverænitet over eget område,
- en forhandlet løsning om Jerusalem som hovedstad for to stater,
- en normalisering af forholdet mellem Israel og alle arabiske lande, og 
- regeringens indsatser for bedre levevilkår og opbygningen af velfungerende institutioner for palæstinenserne.
Folketinget opfordrer regeringen til at arbejde for parternes efterlevelse af Genevekonventionerne og andre internationale forpligtelser, herunder:
- at alvorlige overgreb begået af konfliktens parter ikke må forblive ustraffede, og
- at israelske bosættelser ikke gennem aftaler mellem Israel og EU eller gennem danske offentlige eller private engagementer får legitimeret deres eksistens eller forbedrede økonomiske muligheder.",91,13,0,75,2014-01-23,3,"coalition","left",NA,"Vedtaget

91 stemmer for forslaget (V, S, RV, SF, EL, LA, KF, UFG)

13 stemmer imod forslaget (DF)

0 stemmer hverken for eller imod forslaget

"
