ft_process_id,ft_process_step,ft_topic_id,ft_topic
16581,2. (sidste) behandling,5384,Forslag til folketingsbeslutning om dansk militært bidrag til støtte for indsatsen i Irak.
4849,3. behandling,1449,Forslag til lov om ændring af virksomhedsskatteloven og kildeskatteloven. (Indgreb mod utilsigtet udnyttelse af virksomhedsordningen ved indskud af privat gæld m.v.).
17351,Behandling,5604,"Folketinget konstaterer, at Danmark stod dårligt rustet til at stå imod den økonomiske krise og derfor mistede uforholdsmæssigt mange arbejdspladser. Den økonomiske krise har fortsat et alvorligt tag i Danmark.

I den situation er der fortsat behov for en politisk indsats for at skabe arbejdspladser på kort og på lang sigt, bl.a. gennem grøn omstilling, at bekæmpe ulighed, fattigdom og social dumping samt at løfte Danmark uddannelsesmæssigt, så den næste generation bliver den dygtigste nogen sinde."
18669,Behandling,6020,"Folketinget konstaterer, at regeringen sammen med Venstre og Konservative har indgået aftale om en ny offentlighedslov. Aftalen indebærer, at myndigheders politiske rådgivning af ministre og borgmestre, korrespondance mellem ministre og folketingsmedlemmer samt kalendere i den offentlige forvaltning vil blive undtaget fra aktindsigt.

Folketinget frygter, at dette vil medføre en uheldig indskrænkning af adgangen til aktindsigt og dermed væsentlig mindre åbenhed omkring den offentlige forvaltning.

Folketinget frygter, at den indskrænkning af adgangen til aktindsigt vil medføre, at overtrædelse af regler om saglighed i forvaltning og regler om begrænsning af ministres og borgmestres brug af embedsmænd ikke vil komme frem i lyset.

Åbenhed om den offentlige forvaltning er en grundsten i et demokrati og i kampen mod magtmisbrug og korruption. Folketinget opfordrer derfor regeringen til at garantere, at det kommende lovforslag ikke vil føre til mindre adgang til aktindsigt i ministerierne og kommunerne."
18646,Behandling,6004,"Folketinget finder det afgørende, at kommunerne bruger de redskaber, der virker bedst over for den enkelte ledige.

Løntilskud er et af elementerne i redskabsviften, der kan hjælpe med at skabe kontakt til en arbejdsplads og dermed hjælpe ledige gennem oplæring og genoptræning af faglige, sociale eller sproglige kompetencer.

Folketinget konstaterer, at løntilskud til private virksomheder kan hjælpe ledige i job – også udsatte ledige. Det konstateres endvidere, at virksomhedsrettede indsatser i den offentlige sektor kan have en positiv effekt for udsatte ledige, mens offentlige løntilskudsjob derimod kan virke fastholdende og dermed forlænge ledighedsperioden for arbejdsmarkedsparate ledige.

Folketinget konstaterer, at der er igangsat et udredningsarbejde af løntilskud og virksomhedspraktik, hvori en eventuel fortrængningseffekt af ordinært ansatte og misbrug af løntilskud bliver belyst. Resultatet heraf vil blive drøftet med de relevante partier i Folketinget med henblik på forbedringer af løntil-skudsordninger.

Folketinget finder det afgørende, at misbrug og uhensigtsmæssig brug af løntilskud modvirkes.
"
16866,3. behandling,5452,Forslag til lov om CO2-kvoter.
16953,3. behandling,5459,Forslag til lov om ændring af lov om almene boliger m.v. og lov om friplejeboliger. (Nedsættelse af den kommunale grundkapital og kapitalindskud i friplejeboliger).
19471,Behandling,6188,"Folketinget anerkender, at behovet for ungdomsboliger bedst vurderes lokalt i kommunerne, og at det er kommunerne, der på baggrund af denne vurdering giver tilsagn til nye boliger.

Regeringen sikrer rammerne for en tilstrækkelig forsyning af ungdomsboliger.

Folketinget konstaterer med tilfredshed, at omkring 4.000 ungdomsboliger er under opførelse, og at specielt de fire store universitetskommuner budgetterer med at give tilsagn om godt 1.000 ungdomsboliger i 2013.

Samtidig hilser Folketinget det velkommen, at regeringen i overensstemmelse med regeringsgrundlaget har taget initiativ til at nedsætte den kommunale grundkapital til ungdomsboliger fra 14 til 10 pct. over perioden fra den 1. juli 2012 til udgangen af 2016 for at sikre opførelse af flere ungdomsboliger, så det fremtidige behov imødekommes."
19555,Behandling,6219,"Folketinget tager skatteministerens redegørelse til efterretning og konstaterer i den forbindelse, at grænsehandlen ikke skønnes at være dramatisk stigende. Grænsehandlen og det indenlandske, afgiftspligtige salg udvikler sig i overensstemmelse med det forventede, og der er derfor ikke behov for på nuværende tidspunkt at iværksætte nye initiativer for at begrænse grænsehandlen.

Folketinget noterer sig derudover med tilfredshed, at Skatteministeriet fremadrettet fortsat vil overvåge danskernes grænsehandel i udlandet."
18981,3. behandling,6075,Forslag til lov om indgåelse af dobbeltbeskatningsaftale mellem Danmark og Kina.
